id,grupo,equipo1,equipo2,date,time
1,A,SENEGAL,PAISES BAJOS,11/21/22,5:00:00
2,B,INGLATERRA,IRAN,11/21/22,5:00:00
3,A,QATAR,ECUADOR,11/20/22,5:00:00
4,B,EEUU,GALES,11/21/22,5:00:00
5,C,ARGENTINA,ARABIA SAUDITA,11/22/22,5:00:00
6,D,DINAMARCA,TUNEZ,11/22/22,5:00:00
7,C,MEXICO,POLONIA,11/22/22,5:00:00
8,D,FRANCIA,AUSTRALIA,11/22/22,5:00:00
9,F,MARRUECOS,CROACIA,11/22/22,5:00:00
10,E,ALEMANIA,JAPON,11/22/22,5:00:00
11,E,ESPANA,COSTA RICA,11/22/22,5:00:00
12,F,BELGICA,CANADA,11/22/22,5:00:00
13,G,SUIZA,CAMERUN,11/22/22,5:00:00
14,H,URUGUAY,COREA,11/22/22,5:00:00
15,H,PORTUGAL,GHANA,11/22/22,5:00:00
16,G,BRASIL,SERBIA,11/22/22,5:00:00
17,B,GALES,IRAN,11/22/22,5:00:00
18,A,QATAR,SENEGAL,11/22/22,5:00:00
19,A,PAISES BAJOS,ECUADOR,11/22/22,5:00:00
20,B,INGLATERRA,EEUU,11/22/22,5:00:00
21,D,TUNEZ,AUSTRALIA,11/22/22,5:00:00
22,C,POLONIA,ARABIA SAUDITA,11/22/22,5:00:00
23,D,FRANCIA,DINAMARCA,11/22/22,5:00:00
24,C,ARGENTINA,MEXICO,11/22/22,5:00:00
25,E,JAPON,COSTA RICA,11/22/22,5:00:00
26,F,BELGICA,MARRUECOS,11/22/22,5:00:00
27,F,CROACIA,CANADA,11/22/22,5:00:00
28,E,ESPANA,ALEMANIA,11/22/22,5:00:00
29,G,CAMERUN,SERBIA,11/22/22,5:00:00
30,H,COREA,GHANA,11/22/22,5:00:00
31,G,BRASIL,SUIZA,11/22/22,5:00:00
32,H,PORTUGAL,URUGUAY,11/22/22,5:00:00
33,A,PAISES BAJOS,QATAR,11/22/22,5:00:00
34,A,ECUADOR,SENEGAL,11/22/22,5:00:00
35,B,GALES,INGLATERRA,11/22/22,5:00:00
36,B,IRAN,EEUU,11/22/22,5:00:00
37,D,TUNEZ,FRANCIA,11/22/22,5:00:00
38,D,AUSTRALIA,DINAMARCA,11/22/22,5:00:00
39,C,POLONIA,ARGENTINA,11/22/22,5:00:00
40,C,ARABIA SAUDITA,MEXICO,11/22/22,5:00:00
41,F,CROACIA,BELGICA,11/22/22,5:00:00
42,F,CANADA,MARRUECOS,11/22/22,5:00:00
43,E,JAPON,ESPANA,11/22/22,5:00:00
44,E,COSTA RICA,ALEMANIA,11/22/22,5:00:00
45,H,COREA,PORTUGAL,11/22/22,5:00:00
46,H,GHANA,URUGUAY,11/22/22,5:00:00
47,G,CAMERUN,BRASIL,11/22/22,5:00:00
48,G,SERBIA,SUIZA,11/22/22,5:00:00
